TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,49db412,11,15,-956,-289,-5,0,,
0,49db412,3,326330,178512,1075,,,,0
0,49db412,20,15,-957,-289,-5,0,,
0,49dd65f,4,-202,68,93,,,,3
0,49dd65f,16,-793,915,-1098,-591,846,-1192,3
0,49dd65f,1,26,-33,-1020,0,0,0,0
0,49dd65f,2,5706,-7297,41155,,,,3
0,49dd65f,14,-33000,-9000,24149,-38706,-1702,-17005,3
0,49dd65f,15,5,240,-970,14,0,,0
0,49dd65f,9,18,-26,-999,,,,0
0,49dd65f,10,7,-7,-21,,,,0
0,49dd65f,11,15,-956,-289,-5,0,,
0,49dd65f,3,326316,178505,1075,,,,0
0,49dd65f,20,16,-957,-289,-5,0,,
0,49df8a5,4,102,-53,-28,,,,3
0,49df8a5,16,-488,793,-1220,-591,846,-1192,3
0,49df8a5,1,23,-22,-1021,0,0,0,0
0,49df8a5,15,5,240,-970,14,0,,0
0,49df8a5,9,18,-26,-999,,,,0
0,49df8a5,10,4,3,-21,,,,0
0,49df8a5,11,15,-956,-289,-5,0,,
0,49df8a5,3,326305,178505,1075,,,,0
0,49df8a5,20,15,-957,-289,-5,0,,
0,49e1aec,4,-80,68,93,,,,3
0,49e1aec,16,-671,915,-1098,-591,846,-1192,3
0,49e1aec,1,24,-39,-1020,0,0,0,0
0,49e1aec,2,4506,-6997,41155,,,,3
0,49e1aec,14,-34200,-8700,24149,-38706,-1702,-17005,3
0,49e1aec,15,6,240,-970,14,0,,0
0,49e1aec,9,18,-26,-999,,,,0
0,49e1aec,10,5,-12,-20,,,,0
0,49e1aec,11,15,-956,-289,-5,0,,
0,49e1aec,3,326305,178505,1075,,,,0
0,49e1aec,20,16,-957,-289,-5,0,,
0,49e3d33,4,286,-53,32,,,,3
0,49e3d33,16,-305,793,-1159,-591,846,-1192,3
0,49e3d33,1,24,-27,-1017,0,0,0,0
0,49e3d33,15,6,240,-970,14,0,,0
0,49e3d33,9,18,-26,-999,,,,0
0,49e3d33,10,6,-1,-17,,,,0
0,49e3d33,11,15,-956,-289,-5,0,,
0,49e3d33,3,326305,178505,1075,,,,0
0,49e3d33,20,15,-957,-289,-5,0,,
0,49e5f81,4,41,68,-28,,,,3
0,49e5f81,16,-549,915,-1220,-591,846,-1192,3
0,49e5f81,1,25,-17,-1010,0,0,0,0
0,49e5f81,2,5406,-7447,40705,,,,3
0,49e5f81,14,-33300,-9150,23699,-38706,-1702,-17005,3
